"RSV_ID","SKU_ID","DC_ID","GID_MKT_CD","RSV_QTY","LST_UPDT_DTTM","LST_UPDT_USER_ID","ORDER_NO","XPCT_SHP_DT"
"201808241521154376270","8579740621106","5181",US,1,2018-08-24 15:21:15,ECOM,,
"201808221425494377240","5254278521202","5867",US,1,2018-08-22 14:34:56,ordervalidate,TK77C2B,
"201808241509190311240","2205880120004","5167",US,1,2018-08-24 15:09:19,ECOM,,
"201808221425494555920","8637742120003","5867",US,1,2018-08-22 14:34:56,ordervalidate,TK77C2B,
"201808241323023057120","1397140120002","9348",US,2,2018-08-24 13:23:02,ECOM,,
"201808241509322370050","6218930021105","5861",US,1,2018-08-24 15:09:32,ECOM,,
"201808241514275479650","2862440023000","6225",US,1,2018-08-24 15:14:27,ECOM,,
"201808241513239242540","8987090021107","3774",US,2,2018-08-24 15:13:23,ECOM,,
"201808241510463254270","2020540020003","6787",US,1,2018-08-24 15:10:46,ECOM,,
"201808241515218226700","2844250023000","6225",US,1,2018-08-24 15:15:21,ECOM,,
"201808241512564779010","2905180120003","3264",US,1,2018-08-24 15:12:56,ECOM,,
"201808241516548808250","6025650121402","5958",US,1,2018-08-24 15:16:54,ECOM,,
"201808241518228628070","3401350720003","4514",US,1,2018-08-24 15:18:22,ECOM,,
"201808241525060618810","2208430020003","5927",US,1,2018-08-24 15:25:06,ECOM,,
"201808241333272656960","2899730120002","4469",US,1,2018-08-24 13:33:27,ECOM,,
"201808241332218843040","2251910720002","6588",US,1,2018-08-24 13:32:21,ECOM,,
"201808241318158728480","3395610121107","6558",US,1,2018-08-24 13:18:15,ECOM,,
"201808241521526887900","2874270024000","6478",US,1,2018-08-24 15:21:52,ECOM,,
"201808241523307593230","2859160024000","9348",US,1,2018-08-24 15:23:30,ECOM,,
"201808241523457471800","2094160520003","5927",US,1,2018-08-24 15:23:45,ECOM,,
"201808241319256059770","2865150523000","3981",US,1,2018-08-24 13:19:25,ECOM,,
"201808241322582105010","8296710120402","3264",US,1,2018-08-24 13:22:58,ECOM,,
"201808241324254606170","2862520022000","5021",US,1,2018-08-24 13:24:25,ECOM,,
"201808241409563499580","2028371020001","5468",US,1,2018-08-24 14:09:56,ECOM,,
"201808241327551840140","2026790020001","5772",US,1,2018-08-24 13:27:55,ECOM,,
"201808241328418303610","2922510120006","7176",US,1,2018-08-24 13:28:41,ECOM,,
"201808241328493543800","2846360120001","3785",US,2,2018-08-24 13:28:49,ECOM,,
"201808241410085564460","2234580020003","5927",US,1,2018-08-24 14:10:08,ECOM,,
"201808241334020869370","1396990120000","5748",US,1,2018-08-24 13:34:02,ECOM,,
"201808241334252613520","2843610020014","5260",US,1,2018-08-24 13:34:25,ECOM,,
"201808241335575148710","2839280020014","4510",US,2,2018-08-24 13:35:57,ECOM,,
"201808241414118769570","2847030720001","5035",US,1,2018-08-24 14:14:11,ECOM,,
"201808191021095163560","2029501120002","5641",US,2,2018-08-19 10:22:57,ordervalidate,TK89LNN,
"201808241336434297180","8579740821106","5870",US,1,2018-08-24 13:36:43,ECOM,,
"201808241336434789640","3404450020000","5870",US,1,2018-08-24 13:36:43,ECOM,,
"201808241117487263190","2191920020001","4515",US,1,2018-08-24 11:47:21,ordervalidate,TK6RY6Q,
"201808241340283334210","7754120120000","5639",US,1,2018-08-24 13:40:28,ECOM,,
"201808241344523868930","1482601523000","5626",US,1,2018-08-24 13:44:52,ECOM,,
"201808191049135814450","2017170324000","6481",US,1,2018-08-19 11:12:57,ordervalidate,TK89C9V,
"201808241433249038420","2854920520003","5930",US,1,2018-08-24 14:33:24,ECOM,,
"201808241521021662740","2226280020006","5448",US,1,2018-08-24 15:21:02,ECOM,,
"201808241335482406030","2059350520034","5596",US,1,2018-08-24 13:35:48,ECOM,,
"201808241433323568920","2859630021824","5494",US,1,2018-08-24 14:33:32,ECOM,,
"201808241319213991710","8234411320001","3837",US,1,2018-08-24 13:19:21,ECOM,,
"201808190429335982660","1482080323000","5900",US,1,2018-08-19 05:00:40,ordervalidate,TK8VHWL,
"201808241350548910990","2887110021402","5155",US,1,2018-08-24 13:50:54,ECOM,,
"201808241354346496680","5095843020003","4221",US,1,2018-08-24 13:54:34,ECOM,,
"201808241335019283610","2913180021105","5390",US,1,2018-08-24 13:35:01,ECOM,,
"201808241332082583630","2877970221108","5851",US,1,2018-08-24 13:32:08,ECOM,,
"201808241440178858400","2225350521107","5366",US,1,2018-08-24 14:40:17,ECOM,,
"201808190733028650040","6026270120002","5160",US,3,2018-08-19 07:36:29,ordervalidate,TK8VC1F,
"201808241447259441640","1473380021106","6180",US,1,2018-08-24 14:47:25,ECOM,,
"201808241435375112660","3394720420004","3995",US,1,2018-08-24 14:35:37,ECOM,,
"201808241524096798590","2020640420004","5404",US,1,2018-08-24 15:24:09,ECOM,,
"201808241446451491460","8982320020001","5921",US,1,2018-08-24 14:46:45,ECOM,,
"201808241332328578780","2870710020010","5115",US,1,2018-08-24 13:32:32,ECOM,,
"201808241323159051290","2054990020000","5698",US,1,2018-08-24 13:23:15,ECOM,,
"201808220815354499220","2225350021108","3397",US,1,2018-08-22 08:37:17,ordervalidate,TK797Q7,
"201808241325423355880","7570530320006","5609",US,1,2018-08-24 13:25:42,ECOM,,
"201808241330027096060","2070340020001","5364",US,1,2018-08-24 13:30:02,ECOM,,
"201808241351128699710","2879460021104","7817",US,1,2018-08-24 13:51:12,ECOM,,
"201808241336315633310","8545750320003","6433",US,1,2018-08-24 13:36:31,ECOM,,
"201808241339219064740","2844250025000","5871",US,1,2018-08-24 13:39:21,ECOM,,
"201808190144065770280","3390480120001","5876",US,1,2018-08-19 02:00:12,ordervalidate,TK8VY7B,
"201808241400099887970","3393590020004","6535",US,1,2018-08-24 14:00:09,ECOM,,
"201808241359538422140","2855050020036","5870",US,1,2018-08-24 13:59:53,ECOM,,
"201808241339419717970","2907630020001","6047",US,1,2018-08-24 13:39:41,ECOM,,
"201808201744147224970","8226050720000","6489",US,1,2018-08-20 17:49:20,ordervalidate,TK7XY2G,
"201808171437234301120","2176381420003","5609",US,1,2018-08-17 15:10:19,ordervalidate,TK8LFD2,
"201808241340020272140","2865150923000","5692",US,1,2018-08-24 13:40:02,ECOM,,
