"DC_ID","ADDR_LN1_TXT","ADDR_LN2_TXT","ADDR_LN3_TXT","CITY_NM","CNTY_NM","ST_PROV_CD","PSTL_CD","CTRY_CD","PHN_NBR","LATITUDE","LONGITUDE","OPR_STRT_TM","OPR_END_TM","CRT_USER_ID","CRT_DTTM","LST_UPDT_USER_ID","LST_UPDT_DTTM"
"1546","2370 N EXPRESSWAY",,,BROWNSVILLE,,TX,"78526-1606",US,"547-9174",,,2013-01-01 09:00:00,2013-01-01 22:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"1547","1101 MELBOURNE RD",,,HURST,,TX,"76053",US,"595-5882",,,2013-01-01 09:00:00,2013-01-01 22:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"1549","1500 North Collins Street",,,ARLINGTON,,TX,"76011",US,"275-2988",,,2013-01-01 09:00:00,2013-01-01 22:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"1550","5331 E. Mockingbird Lane",,,DALLAS,,TX,"75206",US,"823-4259",,,2013-01-01 09:00:00,2013-01-01 22:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"1602","2009 BURNSVILLE CENTER",,,BURNSVILLE,,MN,"55306-4445",US,"435-7153",,,2013-01-01 09:00:00,2013-01-01 22:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"1603","8251 FLYING CLOUD DR",,,EDEN PRAIRIE,,MN,"55344-5530",US,"941-1492",,,2013-01-01 09:00:00,2013-01-01 22:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"1608","12671 WAYZATA BLVD",,,MINNETONKA,,MN,"55305",US,"591-9819",,,2013-01-01 09:00:00,2013-01-01 22:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"1614","80 S 8th St",,,MINNEAPOLIS,,MN,"55402-2122",US,"341-4246",,,2013-01-01 09:00:00,2013-01-01 22:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"1622","4201 W Division Street",,,ST. CLOUD,,MN,"56301",US,"203-1105",,,2013-01-01 09:00:00,2013-01-01 22:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
"1627","2800 S COLUMBIA RD",,,GRAND FORKS,,ND,"58201",US,"775-0323",,,2013-01-01 09:00:00,2013-01-01 22:00:00,ORDR-2098,2013-01-31 02:16:30,ORDR-2098,2013-01-31 02:16:30
